,Page_total_likes,photos,status,links,videos,total_posts
0,139441.0,10.0,4.0,0.0,0.0,14.0
1,138414.0,7.0,3.0,1.0,0.0,11.0
2,138458.0,1.0,2.0,0.0,0.0,3.0
3,138895.0,10.0,2.0,1.0,1.0,14.0
4,138353.0,4.0,1.0,4.0,0.0,9.0
5,138329.0,8.0,0.0,0.0,1.0,9.0
6,138185.0,9.0,0.0,0.0,0.0,9.0
7,137893.0,5.0,1.0,0.0,2.0,8.0
8,137177.0,9.0,2.0,1.0,0.0,12.0
9,137059.0,9.0,0.0,0.0,0.0,9.0
10,137020.0,8.0,1.0,0.0,0.0,9.0
11,136736.0,4.0,2.0,0.0,0.0,6.0
12,136642.0,6.0,0.0,0.0,0.0,6.0
13,136393.0,16.0,1.0,1.0,0.0,18.0
14,136013.0,6.0,3.0,1.0,0.0,10.0
15,135713.0,6.0,1.0,1.0,0.0,8.0
16,135700.0,4.0,0.0,0.0,0.0,4.0
17,135617.0,4.0,1.0,0.0,0.0,5.0
18,135428.0,6.0,0.0,0.0,0.0,6.0
19,135195.0,8.0,2.0,0.0,0.0,10.0
20,134879.0,7.0,1.0,0.0,1.0,9.0
21,133679.0,4.0,0.0,0.0,0.0,4.0
22,133594.0,5.0,0.0,0.0,0.0,5.0
23,133451.0,1.0,0.0,0.0,0.0,1.0
24,132817.0,5.0,1.0,0.0,0.0,6.0
25,132201.0,10.0,0.0,0.0,0.0,10.0
26,131956.0,6.0,1.0,0.0,0.0,7.0
27,131808.0,1.0,3.0,0.0,0.0,4.0
28,131728.0,3.0,0.0,0.0,0.0,3.0
29,131630.0,5.0,1.0,0.0,0.0,6.0
30,131300.0,3.0,1.0,0.0,0.0,4.0
31,130791.0,6.0,1.0,0.0,1.0,8.0
32,129600.0,14.0,1.0,0.0,0.0,15.0
33,128032.0,9.0,1.0,0.0,0.0,10.0
34,127082.0,1.0,0.0,0.0,0.0,1.0
35,126424.0,3.0,1.0,0.0,1.0,5.0
36,126345.0,4.0,1.0,0.0,0.0,5.0
37,126141.0,5.0,1.0,0.0,0.0,6.0
38,125612.0,10.0,0.0,0.0,0.0,10.0
39,124940.0,17.0,0.0,0.0,0.0,17.0
40,123047.0,9.0,0.0,0.0,0.0,9.0
41,121540.0,2.0,0.0,0.0,0.0,2.0
42,120050.0,4.0,0.0,0.0,0.0,4.0
43,119198.0,7.0,1.0,0.0,0.0,8.0
44,117764.0,10.0,0.0,1.0,0.0,11.0
45,116435.0,6.0,1.0,0.0,0.0,7.0
46,116091.0,5.0,1.0,0.0,0.0,6.0
47,115893.0,2.0,0.0,0.0,0.0,2.0
48,115368.0,4.0,0.0,0.0,0.0,4.0
49,113028.0,4.0,1.0,1.0,0.0,6.0
50,111620.0,6.0,0.0,0.0,0.0,6.0
51,109670.0,13.0,0.0,0.0,0.0,13.0
52,107907.0,12.0,0.0,1.0,0.0,13.0
53,106928.0,5.0,0.0,1.0,0.0,6.0
54,104070.0,4.0,1.0,0.0,0.0,5.0
55,102112.0,7.0,0.0,1.0,0.0,8.0
56,100732.0,11.0,0.0,1.0,0.0,12.0
57,98195.0,4.0,0.0,1.0,0.0,5.0
58,96749.0,6.0,0.0,0.0,0.0,6.0
59,93684.0,1.0,0.0,0.0,0.0,1.0
60,93577.0,1.0,0.0,0.0,0.0,1.0
61,93470.0,1.0,0.0,0.0,0.0,1.0
62,93363.0,1.0,0.0,0.0,0.0,1.0
63,93256.0,1.0,0.0,0.0,0.0,1.0
64,93149.0,1.0,0.0,0.0,0.0,1.0
65,93042.0,1.0,0.0,0.0,0.0,1.0
66,92935.0,1.0,0.0,0.0,0.0,1.0
67,92828.0,1.0,0.0,0.0,0.0,1.0
68,92721.0,1.0,0.0,0.0,0.0,1.0
69,92614.0,1.0,0.0,0.0,0.0,1.0
70,92507.0,1.0,0.0,0.0,0.0,1.0
71,92400.0,1.0,0.0,0.0,0.0,1.0
72,92293.0,1.0,0.0,0.0,0.0,1.0
73,92186.0,1.0,0.0,0.0,0.0,1.0
74,92079.0,1.0,0.0,0.0,0.0,1.0
75,91972.0,1.0,0.0,0.0,0.0,1.0
76,91865.0,1.0,0.0,0.0,0.0,1.0
77,91758.0,1.0,0.0,0.0,0.0,1.0
78,91651.0,1.0,0.0,0.0,0.0,1.0
79,91544.0,1.0,0.0,0.0,0.0,1.0
80,91437.0,0.0,0.0,1.0,0.0,1.0
81,91330.0,1.0,0.0,0.0,0.0,1.0
82,91223.0,1.0,0.0,0.0,0.0,1.0
83,91116.0,1.0,0.0,0.0,0.0,1.0
84,91009.0,1.0,0.0,0.0,0.0,1.0
85,86909.0,5.0,0.0,1.0,0.0,6.0
86,86491.0,3.0,0.0,2.0,0.0,5.0
87,85979.0,6.0,0.0,1.0,0.0,7.0
88,85093.0,3.0,0.0,0.0,0.0,3.0
89,81370.0,4.0,0.0,0.0,0.0,4.0
