,Count,Word,X,Y
0,1650,sphere,-59.7067206808,17.9820900662
1,1673,disappeared,-4.82089877136,20.5308068795
2,1730,black,27.6343898689,-9.89897064589
3,1764,be,-45.8986271027,14.1058191665
4,1777,round,4.72215465212,-12.6198081577
5,1777,just,16.1729215292,60.2845128295
6,1789,but,28.5480215117,16.6134650953
7,1836,near,-79.027712198,-24.239933018
8,1862,strange,10.1971568139,-24.4457499474
9,1898,traveling,-59.4618351879,34.8806390223
10,1899,when,-43.4029625512,-35.1258377751
11,1922,off,68.9081344427,36.2484803555
12,1973,appeared,-55.8129782019,-18.9821735481
13,2000,around,11.6564480984,48.0141274622
14,2021,this,-8.77964586682,-71.7427831175
15,2027,flashing,-9.22055774547,31.5383510231
16,2040,into,67.6488648548,14.5607545588
17,2075,moved,-41.1070615592,40.0578973593
18,2102,not,42.0634231825,-47.4240639741
19,2121,looked,-7.79141873278,-92.0601881574
20,2170,sound,-8.23062531135,45.4956068778
21,2220,ball,86.1864488808,24.8885828434
22,2228,sighting,51.7641826162,-3.28465094517
23,2270,fireball,28.1140150014,38.568363239
24,2334,glowing,9.48774007171,-5.08334594378
25,2344,low,4.99928981483,36.091454509
26,2387,triangular,-23.4822945343,24.5790060877
27,2409,s,14.9255447926,75.4220127114
28,2416,pd,63.5416132581,-9.10285863478
29,2436,note,58.706359147,-19.1465081485
30,2441,nuforc,-22.8429787386,59.9158905249
31,2456,speed,-43.4389510594,62.2690141754
32,2463,three,-22.6414380903,9.24970843086
33,2479,slowly,14.0948132943,18.5813697154
34,2674,formation,-53.3667345078,-1.94445527961
35,2681,high,-27.6151423556,-85.2124380527
36,2817,as,-58.1777708965,-35.053513468
37,2871,or,22.9776025207,-33.6687217503
38,2894,east,-42.9295839367,-54.9831032964
39,2898,shape,-75.3078081769,-7.82110583349
40,2905,west,-22.9287341135,-58.2612284427
41,2920,south,-32.3744717631,-61.9927074102
42,2941,by,-36.1576144302,2.31175900844
43,3019,star,40.4956185323,37.5574893529
44,3026,above,41.1104011939,107.549951469
45,3034,fast,14.3284529734,27.132322208
46,3116,blue,-4.8098556717,1.50663175198
47,3181,north,-32.1958452313,-52.5239037041
48,3183,triangle,-31.6853954322,25.1003227409
49,3191,an,67.5165785735,62.7107279889
50,3246,across,61.7718989903,25.7197525659
51,3264,hovering,-44.5462405305,-69.7268335882
52,3266,were,13.0938312909,-151.556387912
53,3348,about,3.45318091448,60.2079662102
54,3357,up,32.8924382793,-71.8372649624
55,3368,one,8.45311724226,-40.8253822511
56,3400,quot,42.8424472297,-29.3816065177
57,3410,out,47.8672372374,73.2258850288
58,3431,we,27.5585508217,2.8393281186
59,3433,green,-14.7827354539,-1.72427536702
60,3572,night,-12.5987843246,-39.0852703618
61,3769,objects,79.3453747187,-29.6018173495
62,3892,for,60.5336488088,-63.5100330937
63,4069,no,27.987854942,-46.687190499
64,4075,large,16.3718067379,-13.8410893405
65,4091,two,-93.3354331623,-13.8035652931
66,4627,flying,83.8590469409,-7.82611825028
67,4657,ufo,-29.1571979177,78.0757052721
68,5010,like,36.2742364879,57.195036016
69,5048,craft,-9.56645701309,-205.854889651
70,5166,that,-59.5973334065,51.937234099
71,5264,seen,-2.72912608064,-27.0320294446
72,5435,very,-15.299206466,-19.3323847989
73,6209,saw,-26.8268832552,-11.0629546815
74,6341,my,25.5672916666,209.600994488
75,6527,shaped,-67.9744413073,-1.3112546554
76,6681,from,-58.4461440945,-50.8580927003
77,6910,then,42.1050215654,7.75128556094
78,7367,red,0.637857131396,10.1356244052
79,7540,white,129.235924794,-5.92233794903
80,8210,orange,60.53180443,-39.820596682
81,8480,moving,-49.8533592827,35.5639061975
82,8613,on,-27.0774129616,-38.1142712342
83,9225,with,-5.9287872511,-11.8063484041
84,9724,it,-41.1540313357,-16.0816133146
85,10354,at,10.0700431486,-77.1660922261
86,11236,was,-5.05331157931,78.972073739
87,12175,bright,11.5071614501,5.79645857729
88,12789,over,-87.0720115633,5.75974276253
89,13875,object,54.5703976967,47.0248415239
90,14621,to,-81.8162109499,35.0412503769
91,15025,i,-51.9541126266,-84.935146174
92,15506,sky,43.9656649086,22.9030231625
93,16422,light,-50.4055479879,101.869216064
94,16531,lights,-23.6594093789,43.0306234779
95,18846,of,-28.7515932307,-26.9106237204
96,23759,and,30.087290462,-21.9334455111
97,28888,a,14.1967032376,-55.2841494649
98,30424,in,-5.14638874777,-54.7388506992
99,33139,the,-2.6414233693,-42.3693068757
