,Count,Dist1,Dist2,Dist3,Dist4,Dist5,Sim1,Sim2,Sim3,Sim4,Sim5,Word
0,1,0.826773226261,0.820781826973,0.818908751011,0.818862378597,0.818383276463,pompano,seymour,lemmon,straits,dewey,woode
1,1,0.930396616459,0.928791284561,0.924889147282,0.920051932335,0.915857672691,prom,reidsville,sending,sevral,previously,uncexpected
2,1,0.906321465969,0.903901338577,0.895247220993,0.895227432251,0.8944683671,rooftops,gypsum,deer,ponds,surrey,ampitheatre
3,153,0.944527089596,0.898866534233,0.883798539639,0.873896718025,0.870437800884,water,cornfield,chairs,houses,trees,woods
4,108,0.880990028381,0.875292301178,0.868671417236,0.866314530373,0.86522424221,tillamook,floats,hoovering,suspended,movved,hanging
5,1,0.85661560297,0.839706540108,0.832208573818,0.821859419346,0.820345938206,ways,eratically,unorthodox,awkward,specific,abrudtly
6,2,0.908340275288,0.90608227253,0.90106511116,0.897590696812,0.897275567055,blinded,helena,disrupts,nonblinking,blinding,localized
7,1,0.893098175526,0.890492260456,0.889450907707,0.877858757973,0.870654284954,knobs,quot,urgent,dude,winooski,spidery
8,1,0.928873956203,0.927437841892,0.924999773502,0.922570765018,0.917843282223,oscillating,booming,whistling,edged,creating,itermittant
9,3,0.973365604877,0.972277998924,0.971067368984,0.971019148827,0.970982551575,grounds,sigiente,boulevard,wheaton,cuando,caney
10,1,0.974442720413,0.968014478683,0.967595338821,0.966819763184,0.966243207455,abuelos,rent,recorrido,nous,autoroute,hermana
11,1,0.849482059479,0.818418383598,0.81157630682,0.81066775322,0.809089362621,knobs,floyds,spook,bellmore,ucla,hermann
12,1,0.833575308323,0.820401251316,0.810789942741,0.809636712074,0.809634923935,dayllight,relaying,eact,fourty,afternoo,dooring
13,4,0.94819444418,0.941666305065,0.938825547695,0.93813341856,0.937839329243,breakfast,plated,interview,poachers,hooper,discribed
14,9,0.976098418236,0.975190043449,0.974244236946,0.973340213299,0.972850084305,pueblo,cromwell,apache,key,vermont,broward
15,6,0.96528416872,0.961736679077,0.959127604961,0.955311596394,0.954275071621,sleeping,living,ride,oldest,garage,bringing
16,38,0.941758930683,0.933843851089,0.931523799896,0.930760145187,0.930708825588,residential,coliseum,lax,guntersville,ri,wooded
17,2,0.949759304523,0.944389760494,0.928291976452,0.926189363003,0.9228541255,hissing,muffled,rotor,motor,travelng,vibrational
18,34,0.987962126732,0.982988715172,0.981519699097,0.981156587601,0.979607462883,monday,dec,saturday,friday,thursday,wednesday
19,1,0.914963364601,0.9143922925,0.913072645664,0.905961930752,0.905277252197,birch,indianapolis,dearborn,coachella,dundee,nalley
20,1,0.811533212662,0.808248102665,0.799816191196,0.798983931541,0.798930644989,twinkles,shapes,aluminated,dfferent,stomy,stereotypical
21,1,0.984498977661,0.979151666164,0.978010654449,0.977608919144,0.97746515274,sacar,species,rent,objetos,performed,fuera
22,1,0.90333712101,0.896657109261,0.8896484375,0.888781189919,0.8833771348,occurred,thisn,eclipse,nd,matsqui,hadon
23,1,0.897873401642,0.893350958824,0.890942037106,0.886798858643,0.885452866554,partner,livingroom,dorm,attenti,patio,mountainbike
24,1,0.965793788433,0.962388455868,0.961924910545,0.961499273777,0.960723340511,ash,anormal,soudain,brillantes,rent,ringlets
25,1,0.812422573566,0.812364757061,0.801441252232,0.794362008572,0.794122755527,northeasterly,procedes,nnw,southeasterly,westerly,sooth
26,2,0.965149104595,0.962400257587,0.961457192898,0.961158931255,0.961151182652,garrison,newport,woodland,rancho,toms,gorman
27,1,0.954307973385,0.951193094254,0.950609147549,0.947997391224,0.946487367153,abnormal,maneuvered,expanding,behaviour,irratic,sustaining
28,15,0.958118617535,0.954898715019,0.95362585783,0.951526105404,0.950976550579,wedge,egg,crescent,bell,pill,horseshoe
29,1,0.918504059315,0.910209953785,0.903123259544,0.902221739292,0.898573517799,becuase,arabic,bull,brain,lund,errors
30,1,0.842543661594,0.821815669537,0.816243112087,0.812105834484,0.805509150028,satelltes,embedded,kenner,ides,montclair,semicircular
31,4,0.972483634949,0.970670938492,0.966807484627,0.965339243412,0.965155303478,eating,photographing,patrol,neck,grass,cooking
32,1,0.955236494541,0.950174033642,0.949919402599,0.949341952801,0.948984622955,techonoligal,required,feutre,natural,un,dicovered
33,1,0.871523857117,0.854397892952,0.853878736496,0.853477835655,0.850659608841,unisom,equator,horizion,fruitville,wider,sequencial
34,1,0.967966973782,0.966213703156,0.966202199459,0.965335905552,0.964625716209,fore,comb,ccedil,contained,wein,shocks
35,3,0.924922585487,0.922101676464,0.921883165836,0.921025812626,0.918208837509,georgian,schofield,anchorage,noblesville,granger,elsmere
36,1,0.890520334244,0.886866807938,0.872103512287,0.86807179451,0.867819905281,timber,wanaque,antelope,richey,cloudline,crouch
37,1,0.90628606081,0.895050704479,0.894058585167,0.889146924019,0.888238966465,hobart,alma,enumclaw,banks,niguel,alpena
38,1,0.919053077698,0.914468109608,0.912667810917,0.912404358387,0.909595549107,camo,butterfly,cursive,bag,fortune,chine
39,13,0.964974582195,0.962127268314,0.959818720818,0.956905305386,0.954266309738,trangle,triange,sinclair,stacked,rectagular,triagle
40,6,0.960599482059,0.959779798985,0.95925962925,0.957591593266,0.955848097801,rey,surry,chesterfield,oakville,marina,china
41,1,0.924185395241,0.922144830227,0.921951591969,0.919007241726,0.918770730495,towers,naval,rerouted,manuveurs,outages,naws
42,4,0.957094192505,0.943694889545,0.939378499985,0.938810169697,0.938074886799,luke,national,airbase,int,nuclear,chino
43,52,0.973625719547,0.967875778675,0.962262690067,0.961890101433,0.961039125919,children,sons,fiancee,buddy,sister,kids
44,2,0.971340715885,0.971239805222,0.970567882061,0.970556735992,0.969966411591,forme,comiendo,brightlylit,en,cuando,spotte
45,30,0.951202690601,0.945883452892,0.933499157429,0.932381689548,0.930119931698,ascended,accelerating,zigzagged,dissipated,accelerates,climbed
46,1,0.891261935234,0.879168987274,0.876542747021,0.873914003372,0.865904688835,northboro,cases,divide,ligths,glenolden,cbject
47,167,0.935466706753,0.935289204121,0.930363953114,0.926500499249,0.926075518131,firey,fiery,whitish,yellowish,gold,golden
48,3,0.909498691559,0.906351625919,0.900062739849,0.893829226494,0.891586661339,hillside,closed,centre,words,clo,projection
49,150,0.932025849819,0.927602350712,0.926035106182,0.919141829014,0.908963382244,gold,whitish,pink,yellowish,golden,orangish
50,3,0.891570389271,0.881713628769,0.879362285137,0.876363217831,0.874014258385,ort,portion,mont,pollock,amagansett,eclipes
51,3,0.853192567825,0.851052880287,0.849406778812,0.848831832409,0.848271608353,streight,plomosa,ya,salvage,tthe,stern
52,1,0.882663905621,0.879329323769,0.876692771912,0.875458240509,0.873344063759,stormwatcher,terrace,laid,mirrior,proceed,windowfacing
53,1,0.928468048573,0.910512983799,0.910431087017,0.909814953804,0.907695114613,consider,verazanno,internet,hamptons,overhearing,dng
54,2,0.967016518116,0.965957224369,0.963167369366,0.962255179882,0.959686219692,parties,equinox,residents,demonic,fork,mililani
55,1,0.935859501362,0.930831074715,0.930713295937,0.930009424686,0.9276060462,throw,meade,ww,identifies,club,apprximatly
56,2,0.895549654961,0.891474246979,0.890067577362,0.887264490128,0.876427650452,fare,westbound,eastbound,roberts,souh,fruitville
57,1,0.889426350594,0.88662314415,0.882842063904,0.866488933563,0.866070389748,flip,hard,radars,closer,bagan,dnt
